"29,77","0,0","0,8","5,20","11,36","14,46","17,52","19,58","22,65","24,70","26,74"
"-3,-146","0,0","4,-47","4,-66","4,-76","4,-88","4,-97","4,-108","4,-117","1,-128","0,-138"
"-102,151","0,0","-23,29","-42,60","-56,82","-65,98","-74,112","-83,124","-89,134","-94,140","-98,146"
"-177,-74","0,0","-30,-9","-71,-26","-94,-36","-115,-46","-135,-56","-148,-63","-158,-67","-166,-70","-174,-71"
"-29,-23","0,0","-3,-1","-6,-2","-10,-4","-14,-7","-17,-8","-19,-10","-21,-11","-25,-17","-28,-21"
"-36,-143","0,0","-1,-31","-7,-70","-8,-82","-10,-94","-14,-106","-17,-115","-21,-122","-25,-131","-29,-136"
"37,18","0,0","5,3","9,6","12,8","16,10","19,12","22,14","26,16","29,17","32,18"
"-120,184","0,0","-38,44","-63,81","-78,103","-88,118","-96,130","-103,140","-110,151","-115,162","-118,170"
"-88,91","0,0","-21,16","-47,39","-56,50","-62,56","-65,62","-69,69","-72,73","-76,78","-81,82"
"-15,147","0,0","-5,50","-9,88","-11,104","-12,114","-13,123","-15,128","-15,134","-15,141","-15,147"
"129,-102","0,0","46,-41","82,-73","98,-86","111,-97","127,-107","139,-115","145,-118","148,-116","140,-111"
"-16,-96","0,0","-1,-21","-1,-29","-2,-34","-3,-40","-4,-47","-6,-59","-9,-69","-12,-80","-14,-88"
"104,-108","0,0","40,-37","50,-44","55,-49","62,-58","68,-66","75,-74","82,-83","87,-90","92,-96"
"-49,-17","0,0","-6,0","-13,-2","-19,-4","-23,-6","-27,-8","-32,-11","-36,-13","-42,-16","-45,-17"
"36,186","0,0","17,87","24,122","25,134","27,142","28,150","29,155","31,160","33,166","34,175"
"-105,46","0,0","-31,10","-53,17","-69,24","-78,28","-84,31","-91,34","-97,38","-101,42","-105,46"
"49,71","0,0","8,24","22,54","28,65","30,70","32,73","37,76","42,76","46,74","49,71"
"23,-79","0,0","4,-14","8,-24","10,-33","12,-38","15,-48","18,-58","20,-66","21,-70","22,-75"
"-182,8","0,0","-36,0","-68,-4","-94,-6","-119,-8","-136,-8","-154,-6","-167,-3","-176,1","-181,5"
"-132,-51","0,0","-32,-14","-64,-27","-78,-32","-87,-34","-98,-38","-108,-42","-116,-46","-122,-47","-128,-49"
"189,-149","0,0","68,-64","110,-102","124,-115","140,-128","151,-136","158,-141","164,-144","174,-148","182,-149"
"-165,-202","0,0","-48,-65","-72,-100","-85,-117","-101,-139","-120,-164","-139,-185","-156,-202","-164,-209","-168,-208"
"-171,-25","0,0","-21,-1","-45,-4","-68,-9","-87,-12","-103,-14","-115,-17","-130,-21","-142,-23","-154,-24"
"85,-41","0,0","10,-9","23,-19","33,-25","43,-29","53,-31","64,-34","71,-35","75,-37","81,-39"
"-198,154","0,0","-58,45","-87,70","-109,89","-127,102","-145,114","-161,126","-177,136","-189,144","-196,150"
"-142,-56","0,0","-15,-5","-46,-16","-60,-22","-72,-28","-88,-34","-104,-42","-120,-50","-132,-52","-137,-54"
"-170,-208","0,0","-47,-48","-81,-82","-98,-102","-118,-124","-137,-147","-151,-168","-158,-181","-166,-196","-169,-208"
"196,24","0,0","57,7","115,14","131,16","140,18","154,20","167,22","174,23","181,23","190,24"
